题目：,考核点：,难度：,试题解析：,正确答案,答案A,答案B,答案C,答案D,答案E
在朋友圈看到有兼职刷单的广告，加群后，群主说每刷一单就能赚5元，并给你看了每天发出的返佣截图，让你下单试试看，你该怎么办?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,先问问群友，侧面了解这个刷单靠不靠谱,试几单，看看本金和佣金是不是及时返还,所有刷单都是诈骗,,
在消费者购买产品和接受服务之前，银行业金融机构应当主动践行告知义务，实事求是地加强宣传讲解和()。,金融基础知识,易,在消费者购买产品和接受服务之前，银行业金融机构应当主动践行告知义务，实事求是地加强事先宣传讲解和风险提示。,C,权利,投诉流程,风险提示,流动性,
遭遇电信网络诈骗后，您应该如何做：（  ),反诈防骗,易,在遭遇电信网络诈骗后，应尽快拨打110或者到最近的公安机关报案,B,自认倒霉,准备好相关记录，尽快拨打110或者到最近的公安机关报案,,,
怎样理解《防范和处置非法集资条例》定义条款中的“向不特定对象吸收资金”所指的不特定对象（）,金融基础知识,易,怎样理解《防范和处置非法集资条例》定义条款中的“向不特定对象吸收资金”所指的不特定对象社会公众。,B,亲戚,社会公众,单位内部人员,好友,
赵某在被传销组织的精神洗脑后，为了完成自己的业绩，利用亲情诱惑亲朋投钱的行为（）,非法集资,易,"是不法分子的手段之一，通过用高额回报诱惑亲朋,目的是为了非法集资",A,"是不法分子的手段之一，通过用高额回报诱惑亲朋,目的是为了非法集资",是赵某实现自我价值的一种途径,符合道德要求,是赵某为实现自身利益的必然之选,
中国人民银行是中华人民共和国的（  ）。,金融基础知识,易,中国人民银行是中华人民共和国的中央银行。,A,中央银行,国家银行,政策性银行,商业银行,
注销的信用卡处理不正确的是？(),金融基础知识,易,金融基础知识,A,卡已注销，直接丢弃,剪碎卡片丢进不同垃圾桶,解绑支付宝微信,,
 金融机构在销售金融产品时，不适当的行为包括?,适当性原则,中,金融机构在销售金融产品时，应当遵循适当性、透明性和公正性原则。不适当的行为包括隐瞒产品风险、夸大收益等误导消费者的行为。这些行为损害了消费者的知情权和选择权，违反了金融市场的公平和公正。,B,对客户进行风险评估，根据其风险承受能力推荐产品,隐瞒产品风险，夸大收益,提供充分的信息披露，使客户了解产品详情,为客户提供个性化的投资咨询服务,
保险欺诈主要包括( ）。,反诈防骗,中,保险欺诈主要包括涉嫌保险金诈骗类、非法经营类、保险合同诈骗类。,D,涉嫌保险金诈骗类,非法经营类,保险合同诈骗类,以上都是,
不得以任何原因、形式和手段拒绝客户主动投保的（）车险产品。,金融基础知识,中,无,A,交强险,商业险,责任险,,
"不法分子为吸引群众上当受骗,编造“天上掉馅饼”、“一夜成富翁”的神话，并通过暴利引诱骗取其信任的手段，属于（  ）",反诈防骗,中,"不法分子为吸引群众上当受骗,编造“天上掉馅饼”、“一夜成富翁”的神话，并通过暴利引诱骗取其信任的手段，属于承诺高额回报",A,承诺高额回报,利用亲情诱惑,精神洗脑,,
不属于金融消费者维权途径的是（ ）。,多元纠纷机制,中,在网络上发布关于银行的不良言论不是金融消费者的维权途径。,D,向相关金融机构协商解决,请求依法设立的第三方机构调解,向人民法院提请诉讼,在网络上发布关于银行的不良言论,
产品推介过程中，要充分揭示产品的相关风险，有效保障消费者的(  )。,金融消费者八项权益,中,金融消费者八项权益即财产安全权、知情权、自主选择权、公平交易权、依法求偿权、受教育权、受尊重权、信息安全权等。《关于加强金融消费者权益保护工作的指导意见》里指出了金融机构消费者权益的行为规范，金融机构要严格遵守并自觉维护金融消费者8项基本权利。,A,知情权,自主选择权,财产安全权,受尊重权,
承诺高额回报是非法集资的常见手段之一，其手法为：,反诈防骗,中,无,D,"待集资达到一定规模后，便秘密转移资金或携款潜逃，使集资参与者遭受经济
损失。",在集资初期，往往按时足额兑现承诺本息。,编造“天上掉馅饼”、“一夜成富翁”的神话，通过暴利引诱许诺投资者高额回报。,其他全部,
电信网络诈骗，是指以(  )为目的，利用电信网络技术手段，通过远程、非接触等方式，诈骗公私财物的行为。,反诈防骗,中,电信网络诈骗，是指以( 非法占有 )为目的，利用电信网络技术手段，通过远程、非接触等方式，诈骗公私财物的行为。,B,非法侵害,非法占有,获利,收益,
订立保险合同，保险人就保险标的或者被保险人的有关情况提出询问的，投保人（）。,金融基础知识,中,无,C,可以拒绝告知,可以谎报,应当如实告知,可以部分隐瞒,
多元纠纷化解机制不包括（）,多元纠纷机制,中,健全社会矛盾纠纷预防化解机制，支持人们理性表达诉求，需要完善调解、仲裁、诉讼的多元纠纷解决机制。人民调解、行政调解、司法调解都属于多元化矛盾纠纷化解机制，社区调节不属于多元化矛盾纠纷化解机制的内容。,D,人民调解,行政调解,司法调解,社区调解,
"发现数据泄露风险,以下做法错误的是____。",个人信息保护,中,"发现数据泄露风险，银行保险机构应立刻停止使用该系统,直到风险修复为止，立即上报并处置,消除数据泄露风险，立刻严格监督管理人员,以免管理人员利用漏洞泄露数据。",D,"立刻严格监督管理人员,以免管理人员利用漏洞泄露数据","立刻停止使用该系统,直到风险修复为止","立即上报并处置,消除数据泄露风险","若没有数据泄露,则无碍",
"风险匹配原则是指商业银行只能向客户销售风险评级（ ）其风险承受能力评级的理财产品。
",适当性原则,中,风险匹配原则是指商业银行只能向客户销售风险评级等于或低于其风险承受能力评级的理财产品。,B,"高于
",等于或低于,高于或等于,低于,
个人金融信息包括以下内容除了（）,个人信息保护,中,个人金融信息包括个人身份信息、财产信息、信用信息、金融交易信息及其他反映特定个人某些情况的信息。,D,个人身份信息,金融交易信息,信用信息,工作单位信息,
个人信息的处理包括个人信息的收集、（  ）、使用、加工、传输、提供、公开、删除等。,个人信息保护,中,个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开、删除等。,A,存储,出售,购买,进出口,
